CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
38500,"Plymouth, IN",3992,46866,1028
47780,"Washington, IN",1307,28988,780
37020,"Owosso, MI",1663,72249,1169
17740,"Coldwater, MI",1806,45752,811
43100,"Sheboygan, WI",6328,115359,2674
31860,"Mankato-North Mankato, MN",2807,95653,2569
10820,"Alexandria, MN",347,37398,1330
44580,"Sterling, IL",6479,59747,1286
23660,"Galesburg, IL",2562,52869,1092
28380,"Kennett, MO",1720,31937,803
27920,"Junction City, KS",5307,42686,610
19760,"DeRidder, LA",1147,38431,609
25760,"Helena-West Helena, AR",289,22036,444
25100,"Guymon, OK",8679,20910,476
44500,"Stephenville, TX",7252,36965,890
41660,"San Angelo, TX",39510,111013,2627
20900,"El Campo, TX",15546,41237,951
17340,"Clearlake, CA",11080,64599,1052
43220,"Shelton, WA",4799,59281,960
21820,"Fairbanks, AK",5651,97640,2455
28300,"Keene, NH",1101,77827,1908
19580,"Defiance, OH",3406,38644,815
22300,"Findlay, OH",3072,68444,1619
34620,"Muncie, IN",2079,116866,2371
32340,"Maryville, MO",301,23349,493
21120,"Elk City, OK",2633,22406,840
36940,"Owatonna, MN",2301,37189,1006
37940,"Peru, IN",901,37072,582
17500,"Clewiston, FL",20277,41201,555
36660,"Opelousas, LA",1329,88317,1679
49260,"Woodward, OK",2101,19763,794
10220,"Ada, OK",1538,37944,957
43660,"Snyder, TX",6156,17082,421
21740,"Evanston, WY",1861,21153,607
38540,"Pocatello, ID",5879,84948,1970
16100,"Carlsbad-Artesia, NM",23662,53638,1260
42900,"Seneca Falls, NY",880,32567,674
15820,"Campbellsville, KY",437,25905,622
23380,"Fremont, OH",5158,53513,1174
43060,"Shawnee, OK",2953,70899,1309
45520,"The Dalles, OR",3672,24359,707
23580,"Gainesville, GA",46772,181957,3612
46180,"Tupelo, MS",4129,140488,3209
43320,"Show Low, AZ",11625,109845,1746
10620,"Albemarle, NC",2185,62459,1337
11140,"Americus, GA",1877,37853,716
48100,"Wauchula, FL",11997,28036,405
29100,"La Crosse-Onalaska, WI-MN",1879,133547,3387
43940,"Spearfish, SD",602,23514,990
25580,"Hastings, NE",2549,30862,949
37080,"Oxford, NC",4087,53024,794
24620,"Greeneville, TN",1640,66634,1083
32540,"McAlester, OK",1751,43481,932
32780,"Medford, OR",21693,201553,5692
47240,"Vineyard Haven, MA",384,16512,1021
19000,"Cullowhee, NC",1826,36783,888
11580,"Arcadia, FL",10425,34890,410
10980,"Alpena, MI",317,29919,795
10380,"Aguadilla-Isabela, PR",332711,335968,0
30280,"Lewisburg, TN",1394,30635,477
13660,"Big Rapids, MI",717,41617,738
34420,"Mount Pleasant, TX",12546,30540,629
28500,"Kerrville, TX",11224,48654,1366
15860,"Cañon City, CO",5763,46587,830
28540,"Ketchikan, AK",538,13539,590
34540,"Mount Vernon, OH",735,62102,1065
20540,"Dyersburg, TN",977,37263,765
18420,"Corinth, MS",1009,36277,789
22800,"Fort Madison-Keokuk, IA-IL-MO",1318,61817,1457
13380,"Bellingham, WA",15675,199239,6116
11860,"Atchison, KS",379,16516,358
37220,"Pahrump, NV",5957,43720,636
49100,"Winona, MN",1221,50270,1189
14220,"Bogalusa, LA",888,47799,644
43460,"Sikeston, MO",755,42782,1211
25980,"Hinesville, GA",6891,75827,889
